NumeroHomologacao;DataEmissaoHomologacao;TipodeProduto;Modelo;NomeComercial;ModoOperacao5G;Fabricante
238752300953;2024-02-27;Telefone Móvel Celular;SM-M156B/DSN;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
238392314550;2024-09-06;Telefone Móvel Celular;23124RN87G;Redmi 13C 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
235492300953;2024-02-09;Telefone Móvel Celular;SM-A556E/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
235482300953;2024-02-26;Telefone Móvel Celular;SM-A356E/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
228762300953;2024-02-27;Telefone Móvel Celular;SM-M556B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
219902200953;2023-07-13;Telefone Móvel Celular;SM-A346M/DSN;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
219892200953;2023-07-14;Telefone Móvel Celular;SM-A546E/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
217652209185;2023-07-03;Telefone Móvel Celular;22111317G;Redmi Note 12 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
217652209185;2023-07-03;Telefone Móvel Celular;22111317PG;POCO X5 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
217592209185;2023-08-11;Telefone Móvel Celular;22101316G;Redmi Note 12 Pro;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
217582209185;2023-07-14;Telefone Móvel Celular;2210129SG;;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
217582209185;2023-07-14;Telefone Móvel Celular;2210129SG;Xiaomi 13 Lite;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
217522314550;2024-01-14;Telefone Móvel Celular;2311DRK48G;POCO X6 PRO 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
217152313366;2024-03-14;Telefone Móvel Celular;RMX3867;;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
215092313366;2023-12-14;Telefone Móvel Celular;RMX3785;;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
213362313366;2023-12-12;Telefone Móvel Celular;RMX3780;;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
212012203111;2023-04-28;Telefone Móvel Celular;S180;;Ambos (SA / NSA);GRUPO MULTI S.A
208292300953;2024-01-21;Telefone Móvel Celular;SM-X306B;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
206372300953;2023-12-13;Telefone Móvel Celular;SM-S928B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
206152313366;2024-01-24;Telefone Móvel Celular;RMX3840;;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
204632200953;2023-07-13;Telefone Móvel Celular;SM-M546B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
203902300953;2023-12-11;Telefone Móvel Celular;SM-S921B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
203882300953;2023-12-13;Telefone Móvel Celular;SM-S926B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
203612200953;2023-07-14;Telefone Móvel Celular;SM-M146B/DSN;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
203412300330;2024-11-13;Telefone Móvel Celular;XT2363-1;;Ambos (SA / NSA);Motorola Mobility LLC
203412300330;2024-11-13;Telefone Móvel Celular;XT2363-1;moto g34 5G;Ambos (SA / NSA);Motorola Mobility LLC
198292300953;2023-12-12;Telefone Móvel Celular;SM-A256E/DSN;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
198242300953;2024-01-14;Telefone Móvel Celular;SM-A156M/DSN;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
195552206807;2023-05-08;Telefone Móvel Celular;pnc560;;Ambos (SA / NSA);Hytera Communications Corporation Ltd.
193752113366;2022-03-07;Telefone Móvel Celular;RMX3393;(realme 9 Pro+);Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
192302109185;2022-11-28;Telefone Móvel Celular;21091116AG;Poco M4 Pro 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
